 #! Swift/XRT lightcurve of trigger: 31978, name: NGC 5408 X-1
 #! T0 for this burst is Swift MET=229462503.0 s, = 2008 Apr 09 at 19:35:00.294 UT
 #! Data covers 0.3-10 keV
 #! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source count-rate, source error
 #! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 #! For a detailed description of the file, see
 #! http://www.swift.ac.uk/xrt_curves/docs.php
 #! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00031978
#! PC data
#!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
62190209.952	18000.000	-18000.000	8.055334e-02	9.393698e-03	-9.393698e-03
62226209.952	18000.000	-18000.000	6.770269e-02	9.384738e-03	-9.384738e-03
62622209.952	18000.000	-18000.000	6.141660e-02	8.983520e-03	-8.983520e-03
62658209.952	18000.000	-18000.000	6.298526e-02	9.263511e-03	-9.263511e-03
63234209.952	18000.000	-18000.000	6.085963e-02	5.857401e-03	-5.857401e-03
63846209.952	18000.000	-18000.000	5.236318e-02	5.970019e-03	-5.970019e-03
64386209.952	18000.000	-18000.000	6.329229e-02	1.195873e-02	-1.195873e-02
65034209.952	18000.000	-18000.000	5.782209e-02	7.761825e-03	-7.761825e-03
65070209.952	18000.000	-18000.000	7.073528e-02	1.346250e-02	-1.346250e-02
65682209.952	18000.000	-18000.000	7.023023e-02	6.882354e-03	-6.882354e-03
66186209.952	18000.000	-18000.000	6.595141e-02	9.013012e-03	-9.013012e-03
66222209.952	18000.000	-18000.000	5.077228e-02	1.161780e-02	-1.161780e-02
66798209.952	18000.000	-18000.000	6.845840e-02	8.612973e-03	-8.612973e-03
66834209.952	18000.000	-18000.000	4.718810e-02	9.579761e-03	-9.579761e-03
67446209.952	18000.000	-18000.000	7.739261e-02	6.650257e-03	-6.650257e-03
68022209.952	18000.000	-18000.000	5.942218e-02	6.291516e-03	-6.291516e-03
68670209.952	18000.000	-18000.000	6.359183e-02	6.843795e-03	-6.843795e-03
69318209.952	18000.000	-18000.000	7.430788e-02	6.654028e-03	-6.654028e-03
69858209.952	18000.000	-18000.000	7.172730e-02	6.176617e-03	-6.176617e-03
70470209.952	18000.000	-18000.000	8.398745e-02	1.047734e-02	-1.047734e-02
71082209.952	18000.000	-18000.000	8.556607e-02	7.198667e-03	-7.198667e-03
71694209.952	18000.000	-18000.000	7.224227e-02	6.348618e-03	-6.348618e-03
72342209.952	18000.000	-18000.000	8.606560e-02	9.826301e-03	-9.826301e-03
72882209.952	18000.000	-18000.000	7.225483e-02	6.195467e-03	-6.195467e-03
73494209.952	18000.000	-18000.000	7.475702e-02	1.205655e-02	-1.205655e-02
73530209.952	18000.000	-18000.000	6.915528e-02	8.119826e-03	-8.119826e-03
74106209.952	18000.000	-18000.000	8.501824e-02	7.826392e-03	-7.826392e-03
74718209.952	18000.000	-18000.000	7.948790e-02	6.470859e-03	-6.470859e-03
75330209.952	18000.000	-18000.000	6.559509e-02	5.660563e-03	-5.660563e-03
75906209.952	18000.000	-18000.000	7.480651e-02	6.953438e-03	-6.953438e-03
76482209.952	18000.000	-18000.000	7.313679e-02	9.507442e-03	-9.507442e-03
76518209.952	18000.000	-18000.000	9.040955e-02	1.029587e-02	-1.029587e-02
77130209.952	18000.000	-18000.000	1.133902e-02	3.063722e-03	-3.063722e-03
77706209.952	18000.000	-18000.000	9.218716e-02	7.017452e-03	-7.017452e-03
85086209.952	18000.000	-18000.000	6.196287e-02	7.972368e-03	-7.972368e-03
85122209.952	18000.000	-18000.000	7.200397e-02	9.658116e-03	-9.658116e-03
85662209.952	18000.000	-18000.000	6.967978e-02	7.096834e-03	-7.096834e-03
86202209.952	18000.000	-18000.000	5.696390e-02	7.727239e-03	-7.727239e-03
86238209.952	18000.000	-18000.000	6.028094e-02	7.934291e-03	-7.934291e-03
